371037191,''팬티가 축축했다''여교사 속옷 훔친 초등 남학생
371037191,"





피해자 교사는 범죄충격+학부모의 2차가해 때문에
결국 학교 그만둠


장원영 안유진 아이브 제니 지수 아이린 더보이즈 영훈 엔하이픈 성훈 스트레이키즈 현진 필릭스 라이즈 원빈 성찬 소희 앤톤 성한빈 장하오 한유진 정재현 해찬 태용 정우 도영  




"
371037191,"
 이건 예비범죄자가 아니라 이미 범죄자임 학부모 개돌았노
"
371037191,"
 유충쉑 돌았노
"
371037191,"
 아ㅆㅂ 한남에 나이 없다
"
371037191,"
 부모 제정신이냐? 애가 저랬는데 깜짝 놀라거나 죄송하다거나 교육시킬 생각은 없고 죄없는 선생님한테 뭐라고 하는게 참 애가 어떻게 자랄지 눈에 보인다
"
371037191,"
 미친… 진짜 처벌해라 초딩이라도
"
371037191,"


													하 진짜 징그럽다											
"
371037191,"


													진짜 애가 문제면 100이면 99부모도 문제 많음;; 우리반에 학폭으로 신고당한 애 있는데 엄마가 오히려 겨우 그런걸로 우리 애 신고하는 애들 너무하다고 억울하다고 토로함 ㅋㅋㅋㅋㅋㅋ											
"
371037191,"


													한숨 자고 이야기 하면 안될까? 어떡게든 안풀릴것 같은데....											
"
371037191,"


													진짜 똑똑한 애들은 결혼하지 않고 어디 고딩엄빠 같은 애들이 무분별하게 결혼하니까 애들이 엉망진창으로 크고있음 멍청할수록 본능에 충실함.... 교육열 낮은 동남아 출산율이 높은것도 그런 이유임											
"
371037191,"


													조만간 뉴스에서 그놈 소식을 접하겠군.											
"
371037191,"


													이 교사 힘든데도 학생 생각해서 강전가는거 막음 -> 사건 무마되는듯 하니까 학생 정신과 다니는것도 중단하고 강전 막았는데도 부모랑 학생이 사과도 안하고 감사표시도 안하고 학부모랑 학생 태도때문에 더 스트레스받아서 자진해서 전근감. 글고 문제는 한명의 여교사만 당한거 아니고 저 학생이 몇개월간 여교사 화장실 염탐했어서 피해자가 여러명임.(뉴스에서 봄) 암튼 피해자는 여러명일테고 여학생들도 나중에 피해를 볼 수 있겠지. 이런건 여교사가 강전 막았더라도 학교에서 걍 강전 보내버렸어야함. 그래야 심각성을 알지											
"
371037191,"


													초범이 아니네... 여자형제나 사촌.. 조심해야 되는데.. 알려나..											
"
371037191,"


													부모가 아이 바로 잡을 기회를 버린거. 범죄는 처음 걸렸을때 잡아야하는건데  이집은 끝났다. 이런ㄴ이 나돌아 댕기는거 너무 불안해											
"
371037191,"


													와 이 애기범죄자새키를 어떡하면좋지 ㅋㅋ?;; 가라 그냥 다 짜증나니까..											
"
371037191,"


													제목 뭐임? 팬티가 축축ㅡ.. 우선 토했음											
"
371037191,"


													이미 성범죄자 아님?											
"
371037191,"

													이거 커서 뭐되냐											
"
371037191,"

													엄마가 이상해											
"
371037191,"


													요즘 초딩들도 너무 무섭다											
"
371037191,"


													미래 몰카충이네											
"
371037191,"

													맘충들 답없네											
"
371037191,"


													호기심으로 학교 여자화장실을 훔쳐보고 선생님 속옷에 변태짓을 하던 애는 나이를 더 먹고 지하철역 여자화장실을 훔쳐보고 아랫집 여성의 속옷에 변태짓을 하겠지 호기심 하나를 그냥 냅둬서 니 아들이 성범죄자로 크는걸 실시간 목격하길 바란다 ^^											
"
371037191,"

													역시 한국남자야 대단하다 나이상관없네											
"
371037191,"

													그래 한남들이 너무 심각해서 한녀들은 전원 결혼하지 말고 평생 독신으로 사는게 정답이 아닐까 싶다.											
"
371037191,"


													유충은 낙태가 답임											
"
371040481,엑셀 함수 쓰지말라는 상사
371040481,"





 　　
 




"
371040481,"
 저양반 정년퇴직하고 요양병원 가 있겠다
"
371040481,"
 소 닭이 왜 나오고 지상군은 뭔 개소리야
"
371040481,"
평생 농사일하시느라 직장생활하지도 않으신 80넘은 우리 할아버지도 습니다로 쓰세요 아무리 옛날에 읍니다로 배웠어도 습니다로 변경되고 세월이 얼만데... 현직에 있으면서 아직도 읍니다 쓰는 사람이 있을 수 나요?
"
371040481,"
 ㅋㅋㅋㅋㅋㅋ정작 본인은 핸드폰문자 왜 사용함? ㅋㅋ쪽지에다 직접써서 전달해주지 ?ㅋㅋ
"
371040481,"
 읍니다.라고 쓴거 보니 은퇴할 나이 넘은거 아니야?
저 정도면 직장생활 어찌 했는지 알겠다.
그럼 컴퓨터.계산기는 사용 안 해야지.
"
